gene_symbol	TCGA-OR-A5J1-01A-11R-A29S-07	TCGA-OR-A5J2-01A-11R-A29S-07	TCGA-OR-A5J3-01A-11R-A29S-07	TCGA-OR-A5J5-01A-11R-A29S-07	TCGA-OR-A5J6-01A-31R-A29S-07	TCGA-OR-A5J7-01A-11R-A29S-07	TCGA-OR-A5J8-01A-11R-A29S-07	TCGA-OR-A5J9-01A-11R-A29S-07	TCGA-OR-A5JA-01A-11R-A29S-07	TCGA-OR-A5JB-01A-11R-A29S-07	TCGA-OR-A5JC-01A-11R-A29S-07	TCGA-OR-A5JD-01A-11R-A29S-07	TCGA-OR-A5JE-01A-11R-A29S-07	TCGA-OR-A5JF-01A-11R-A29S-07	TCGA-OR-A5JG-01A-11R-A29S-07	TCGA-OR-A5JI-01A-11R-A29S-07	TCGA-OR-A5JJ-01A-11R-A29S-07	TCGA-OR-A5JK-01A-11R-A29S-07	TCGA-OR-A5JL-01A-11R-A29S-07	TCGA-OR-A5JM-01A-11R-A29S-07	TCGA-OR-A5JO-01A-11R-A29S-07	TCGA-OR-A5JP-01A-11R-A29S-07	TCGA-OR-A5JQ-01A-11R-A29S-07	TCGA-OR-A5JR-01A-11R-A29S-07	TCGA-OR-A5JS-01A-11R-A29S-07	TCGA-OR-A5JT-01A-11R-A29S-07	TCGA-OR-A5JV-01A-11R-A29S-07	TCGA-OR-A5JW-01A-11R-A29S-07	TCGA-OR-A5JX-01A-11R-A29S-07	TCGA-OR-A5JY-01A-31R-A29S-07	TCGA-OR-A5JZ-01A-11R-A29S-07	TCGA-OR-A5K0-01A-11R-A29S-07	TCGA-OR-A5K1-01A-11R-A29S-07	TCGA-OR-A5K2-01A-11R-A29S-07	TCGA-OR-A5K3-01A-11R-A29S-07	TCGA-OR-A5K4-01A-11R-A29S-07	TCGA-OR-A5K5-01A-11R-A29S-07	TCGA-OR-A5K6-01A-11R-A29S-07	TCGA-OR-A5K8-01A-11R-A29S-07	TCGA-OR-A5K9-01A-11R-A29S-07	TCGA-OR-A5KO-01A-11R-A29S-07	TCGA-OR-A5KT-01A-11R-A29S-07	TCGA-OR-A5KU-01A-11R-A29S-07	TCGA-OR-A5KV-01A-11R-A29S-07	TCGA-OR-A5KW-01A-11R-A29S-07	TCGA-OR-A5KX-01A-11R-A29S-07	TCGA-OR-A5KY-01A-11R-A29S-07	TCGA-OR-A5KZ-01A-11R-A29S-07	TCGA-OR-A5L3-01A-11R-A29S-07	TCGA-OR-A5L4-01A-11R-A29S-07	TCGA-OR-A5L5-01A-11R-A29S-07	TCGA-OR-A5L6-01A-11R-A29S-07	TCGA-OR-A5L8-01A-11R-A29S-07	TCGA-OR-A5L9-01A-11R-A29S-07	TCGA-OR-A5LA-01A-11R-A29S-07	TCGA-OR-A5LB-01A-11R-A29S-07	TCGA-OR-A5LC-01A-11R-A29S-07	TCGA-OR-A5LD-01A-11R-A29S-07	TCGA-OR-A5LE-01A-11R-A29S-07	TCGA-OR-A5LG-01A-11R-A29S-07	TCGA-OR-A5LH-01A-11R-A29S-07	TCGA-OR-A5LJ-01A-11R-A29S-07	TCGA-OR-A5LK-01A-11R-A29S-07	TCGA-OR-A5LL-01A-11R-A29S-07	TCGA-OR-A5LM-01A-11R-A29S-07	TCGA-OR-A5LN-01A-11R-A29S-07	TCGA-OR-A5LO-01A-11R-A29S-07	TCGA-OR-A5LP-01A-11R-A29S-07	TCGA-OR-A5LR-01A-11R-A29S-07	TCGA-OR-A5LS-01A-11R-A29S-07	TCGA-OR-A5LT-01A-11R-A29S-07	TCGA-OU-A5PI-01A-12R-A29S-07	TCGA-P6-A5OF-01A-11R-A29S-07	TCGA-P6-A5OG-01A-22R-A29S-07	TCGA-PA-A5YG-01A-11R-A29S-07	TCGA-PK-A5H8-01A-11R-A29S-07	TCGA-PK-A5H9-01A-11R-A29S-07	TCGA-PK-A5HA-01A-11R-A29S-07	TCGA-PK-A5HB-01A-11R-A29S-07
DIRAS3	1487.0317	9.6631	18.9602	760.6507	10.0594	588.4477	27.3518	2408.08	2276.4271	118.9707	20.3562	11.5291	1525.4525	3823.149	12.3606	1391.3043	1360.1071	32.0366	3809.7252	108.1897	86.3864	410.628	4.3794	870.892	7.0292	1105.2943	2502.5961	7.0206	6.4861	1008.9566	396.3056	13.7421	4.9686	1126.3226	5304.0103	8.9643	337.6206	413.9324	1696.6618	8.7951	692.5961	643.5453	7.4752	881.6043	782.503	223.2314	11.5108	1676.3636	2112.7232	578.1167	1171.491	310.2804	2766.9593	64.5161	81.6327	2.7975	425.3731	55.6309	1190.7105	685.7013	3170.3655	762.6479	1718.6441	31.7033	7.204	253.1792	824.123	7.4929	218.41	3471.4552	15.3061	58.1528	1042.237	34.2436	911.6967	16.8645	301.1428	10.4741	188.0513
MAPK14	778.5783	2823.6469	1061.7686	806.3517	1526.7965	1679.5026	1244.9233	1457.4952	1728.3298	1648.6577	1891.2214	825.8495	1996.6063	1403.9965	1143.0875	1013.876	1318.6078	842.868	1244.0686	2821.5517	1294.7168	757.5758	817.7565	1024.8826	1368.8494	925.2635	1334.891	2208.4247	833.4685	4512.7631	1168.7657	3070.296	661.6498	1239.4731	710.2199	942.9311	4271.0152	3350.8329	674.8911	2447.2296	1654.6392	812.1387	1557.0921	637.8712	1078.9793	1130.0191	1254.2335	1460.6061	1017.8571	1139.9184	971.0541	958.8785	2019.154	741.9355	688.5537	1544.2359	654.6811	1206.2415	956.3816	896.8263	983.6191	1261.5152	1327.1186	1111.4102	1791.3853	1032.3699	1653.0514	896.5032	1077.8243	1583.6016	591.8367	1863.74	1407.1177	1533.1599	1047.619	1302.9357	1446.7417	1732.6351	2444.2662
YAP1	1009.6061	2305.059	1561.2502	713.4005	904.2301	1547.9342	1587.6502	487.5317	977.8013	2646.764	772.2646	682.6456	882.9186	943.3343	814.1878	1146.161	973.6725	700.9916	436.4576	1878.0172	1544.1576	1191.0408	1168.9061	839.9061	1289.6781	867.4642	723.2606	1392.7161	1286.8494	1621.1375	1472.3762	1099.3658	888.5484	947.5275	864.1656	1076.8352	1900.7809	736.4967	683.5994	1638.5224	1201.4995	855.4913	1423.2854	1468.5692	1037.3971	1179.7323	1261.7598	1481.8182	484.375	855.4708	1062.8072	1026.1682	1915.403	559.1398	385.0932	871.8965	478.9688	839.8915	872.7367	1233.0793	509.8703	953.9391	633.8983	3020.1884	818.8504	584.9711	1452.667	2026.1678	1149.7908	1053.7015	981.2925	1312.4287	1835.745	3505.4183	2400.8322	859.4628	2031.2309	841.7861	1676.0225
CDKN1B	2101.3449	4248.9584	1348.541	1450.0387	4540.1518	2693.1408	1450.4766	1843.7128	2492.0719	1153.1692	2486.6412	2144.4175	1988.6878	1660.3919	1469.8374	1890.8418	2205.2655	2309.6873	2579.751	1798.2759	2735.2107	2446.2011	1567.8312	2938.4977	2219.0159	1698.9222	3456.3863	3030.2764	1940.6519	2581.7286	4212.9303	3104.6512	2438.7467	1922.6949	3119.0168	4209.854	982.0854	1623.4225	1206.0958	3212.4011	2020.15	2608.8632	1734.2553	1168.5307	2409.0725	2633.8432	1734.145	3446.6667	1020.0893	4056.0383	2065.538	1914.0187	2000	930.1075	1608.6957	3128.5698	1734.057	1242.8765	2658.1874	1314.0712	3698.7597	1986.4083	2628.8136	3182.8922	2710.4908	2446.2428	4461.3167	2280.4856	2632.636	1792.309	1825.6803	2632.8392	2430.1916	917.642	2237.6329	3073.0793	2139.0561	2981.2569	3004.8115
ERBB2	651.2968	246.4098	90.0607	1167.3122	171.0101	55.7561	1579.7762	171.35	557.611	1293.0823	526.7176	368.932	151.0181	85.3364	160.1505	560.592	182.5078	264.6834	128.7292	103.8793	1111.6855	59.2885	230.1184	101.8779	85.0906	109.9135	62.8245	74.5941	538.3493	134.7962	314.3577	606.7653	141.6046	88.1019	62.0957	286.8572	129.9954	237.2539	78.3745	76.9569	260.5436	331.4066	140.5345	519.8612	179.8299	303.5373	153.6248	227.2727	126.1161	59.585	290.5516	252.3364	304.4693	274.1935	212.9547	135.2139	127.5441	549.5251	49.8179	175.1792	135.2245	115.2781	98.3051	146.553	117.6647	77.4566	132.6285	115.9195	298.7448	88.0908	215.9864	297.6055	219.3977	802.3407	80.9061	208.6196	1210.1544	85.4465	89.4146
G6PD	1456.7723	1715.6081	3571.0265	2647.56	1075.7991	1910.1484	3343.5557	14389.6632	3316.5962	2977.3867	2784.9873	2791.2621	3586.5385	2443.8652	760.9835	4868.6401	1394.913	2627.7651	3089.0298	2413.3621	2746.009	7230.7861	10618.095	14452.5822	2865.7048	11034.9402	5361.3707	1452.8302	2490.0276	4906.5383	8186.7338	904.4292	9551.2748	4316.9942	3760.6727	8824.7818	4504.3638	2782.9379	4371.553	1513.1926	2097.0009	2052.9865	1713.3246	1440.0309	2478.1963	1207.935	1950.1937	2238.7879	1375	3693.5627	8257.7826	5257.9439	2609.3376	13833.3333	8685.8917	2749.5046	3059.0231	2366.3501	1409.3129	2173.5866	4492.5088	1234.3317	5866.1017	649.6187	3154.1348	4390.7514	1429.6012	6646.5181	12140.5858	1800.7589	2606.2925	4733.7514	1132.9683	1245.7737	4626.9071	2315.4279	614.1499	5048.5116	1080.5934
KDR	349.6638	1246.141	486.4465	164.2138	934.4084	1872.0417	674.2644	1792.3758	451.9027	170.2128	747.4555	3348.9078	456.448	725.1665	1158.1352	2400.555	565.8188	463.0053	1437.6321	292.2414	1029.6184	441.8094	1125.9082	1528.6385	462.0792	4088.1203	724.8183	877.5779	524.0798	732.6467	1014.2737	97.2516	1398.6564	513.9279	411.3842	986.0717	211.3	331.6507	534.1074	304.7493	478.4442	1365.1252	177.9107	171.6159	436.344	261.9503	870.3929	760.6061	243.3036	1848.5547	4170.3987	1228.0374	793.2961	483.871	1148.181	763.2591	508.8195	263.2293	402.8488	313.5024	796.0646	502.3911	1900	119.0369	476.6622	709.8266	423.3542	1558.9636	1443.5146	1762.4936	6227.8912	582.0981	418.8502	2462.5054	1548.3125	520.9244	2366.9197	1088.2029	940.2566
ERBB3	5.2834	14.8973	94.2083	44.1518	924.9078	10.0281	12.8471	3.0598	32.7696	32.9732	15.2672	26.699	2.8281	3.4752	12.898	9.2507	41.9456	4.5767	13.1548	4.7414	1227.7673	14.4928	9.9532	14.0845	7.7691	10.4228	2.0768	9.6534	11.675	10.7479	6.0453	4.7569	12.4215	9.5012	3.881	12.8862	4.5935	15.6487	8.7083	15.8311	8.9035	2.8902	1.495	101.4269	10.8006	1.434	14.6099	2.4242	0	21.2804	39.8689	22.4299	1.1971	16.129	18.6335	8.3926	23.0665	6.7843	8.6105	4.0951	48.6252	12.5849	13.5593	1.7945	22.2122	48.5549	3.8443	5.7299	7.5314	15.5853	9.3537	10.2623	7.4306	13.0039	31.9001	266.0837	10134.5198	6.0639	20.0481
AKT1S1	699.8079	939.7393	2295.3636	2666.9249	3415.1732	4325.712	2840.862	2947.2886	2048.0973	1807.2853	2312.341	1654.1262	7070.1357	2742.7358	3750.1008	2541.1656	2182.5078	1706.331	809.9601	2087.069	1547.3971	2595.9596	1830.5962	967.1362	1661.1173	756.6031	645.8982	1724.0018	1635.8035	1230.6314	628.0437	1430.7611	909.2509	2720.7946	1968.9521	1053.8642	2400.5512	2203.9374	2098.6938	2937.555	1505.6232	1164.7399	1846.3839	2472.8114	4710.6791	1680.6883	5415.8273	1403.6364	3518.9732	1646.3912	927.9082	1768.2243	1701.5164	3338.7097	1427.6841	2121.9256	1923.3379	4287.6526	1778.6853	1858.7191	1241.1013	1728.1651	1101.6949	1333.9315	1766.7717	1626.5896	1961.5569	1544.8593	735.5649	2383.195	1639.4558	1663.0559	1304.2628	1715.2146	1683.3102	1538.4135	1123.9641	1057.8831	1976.7442
MAPK8	85.4947	440.8803	113.1684	109.9923	91.6525	220.6177	75.0104	194.1287	182.8753	136.794	152.0356	194.7816	24.8869	135.9205	117.6945	92.5069	74.5203	86.9565	169.603	224.569	105.2835	258.2345	107.4948	166.6667	92.4898	172.4506	171.3396	270.294	80.4281	85.983	155.8354	111.5222	93.575	125.2429	38.8098	228.5894	90.0322	91.368	15.9652	164.0281	179.4752	51.0597	74.0049	134.2075	133.9274	118.5468	219.5905	154.5455	40.1786	166.6962	59.5303	29.9065	181.5642	0	20.4082	282.0842	41.384	12.2117	123.6223	62.3365	142.634	232.0664	110.1695	143.5621	177.0974	62.4277	428.1595	125.6162	133.0544	117.9061	255.9524	271.3797	244.4271	173.8188	102.6352	124.9219	417.6917	245.8655	319.9679
PRKCD	1074.928	5132.7321	2352.2441	862.1224	2684.7475	2404.3321	888.9349	2381.2215	1784.8837	616.2415	2942.7481	2381.068	5958.1448	2036.1039	1160.2848	3812.2109	924.141	3112.1281	1836.9744	1677.5862	702.4298	455.4238	4949.139	3514.0845	2220.4957	1241.7387	4145.379	6815.7086	8978.7579	4549.485	1730.9824	1298.0973	3299.1398	3936.0829	2600.2587	1303.7437	2298.576	4209.4902	2287.373	759.4547	3624.1799	1376.6859	3133.6199	946.3941	3643.0404	2337.9541	735.3625	1420	4964.2857	2764.3199	3101.5838	2160.7477	3369.1141	1247.3118	2373.5581	974.0063	1727.9512	3731.3433	4946.1228	2963.0304	4556.8794	1979.8641	3069.4915	1645.581	2091.5504	4787.2832	631.4272	3184.9225	1056.0669	2636.6254	4399.6599	859.7491	1118.4982	1042.9129	2569.5793	1611.4928	1125.7088	2132.8556	924.6191
EIF4EBP1	241.5946	499.2617	612.0575	1020.914	293.3998	316.085	1628.2636	321.2813	358.351	1270.8032	738.5496	424.7573	727.3756	170.2867	379.9543	662.3497	503.3467	463.7681	153.1595	568.9655	728.3457	471.2341	1058.6245	236.6197	731.0396	466.185	258.567	41.2462	599.9676	334.0797	170.6129	156.4482	377.6124	465.5582	300.1294	425.8037	1748.2774	369.5103	278.6647	1012.7529	791.94	793.8343	563.633	316.236	545.43	469.8853	494.0786	1599.3939	399.5536	293.6691	374.1125	628.0374	136.0734	1505.3763	526.1757	125.4225	864.9932	911.8046	266.3108	379.479	192.1855	814.4979	371.1864	54.434	381.81	470.5202	94.1855	379.934	287.0293	98.2551	236.3946	179.5895	389.519	2543.9965	242.7184	496.5646	256.4774	656.5601	378.5084
IGFBP2	2462.536	116.3602	656.4953	430.6739	8656.1313	5672.6835	3863.2408	217.5873	3736.7865	521.7779	1859.4148	288.2282	4143.6652	1560.3823	384.7911	1090.6568	1244.9799	1295.9573	651.6326	305.6034	1146.78	5480.0176	424.4053	369.4836	425.4532	1078.2897	1377.9855	360.2457	270.4719	705.3292	1156.0034	4933.4038	2138.9754	752.3213	695.9897	4918.0328	1208.5439	486.1181	1214.8041	2019.3492	869.7282	1631.9846	11173.2386	495.9506	707.9789	38628.1071	731.8207	10943.0303	393.9732	1863.451	1004.3692	3732.7103	887.4701	5198.9247	2486.2467	497.9601	594.3012	3130.2578	862.8961	3228.3017	2374.3009	1455.3234	559.322	789.5917	1152.6339	609.2486	740.0288	866.0909	7234.3096	668.8125	44.2177	207.5257	1486.5076	2289.987	712.4364	1321.0493	662.3048	1537.4862	1193.6648
RPS6KA1	856.3881	287.8807	1596.8005	736.6383	690.188	761.3317	744.7161	2291.1268	610.9937	1041.7734	301.5267	384.7087	2144.7964	1237.9573	479.914	234.9676	1215.975	533.9436	736.669	565.5172	571.2303	911.2868	1079.7253	291.5493	895.6715	143.0771	1329.6989	1172.4441	225.0689	2435.7367	153.8203	1578.7526	435.5792	1072.7705	340.2329	252.1206	613.6886	876.8299	419.4485	1994.2832	515.4639	570.3276	180.1532	1065.9468	656.1361	937.8585	485.6669	869.697	622.7679	360.3476	845.4397	248.5981	1431.3647	408.6022	2027.5067	263.9002	1980.3256	934.8711	2343.2887	474.1213	2389.5831	786.811	1067.7966	160.3111	204.7126	714.4509	378.6641	508.1948	285.3556	807.0473	420.068	439.5667	827.1412	1086.6927	1351.8262	351.0306	171.3339	329.6582	745.3889
MRE11A	214.2171	278.2176	216.2643	108.4431	110.6536	475.3309	151.264	159.1107	218.2875	252.6456	211.1959	180.8252	120.4751	178.0095	149.4021	193.3395	189.6475	147.2159	181.8182	441.3793	239.7224	124.2863	187.5187	276.5258	284.4987	252.9906	232.0872	219.3945	219.2314	396.7756	319.7313	193.9746	211.1648	218.5273	125.4851	329.4376	231.0519	109.5406	85.6313	163.1486	298.5005	88.632	183.8909	241.0336	220.8721	348.4704	204.5379	386.0606	110.4911	271.6794	188.4216	192.5234	342.7773	86.0215	133.0967	164.1217	128.9009	213.0258	303.213	193.8346	206.5415	372.0111	135.5932	325.4075	166.8918	164.1618	256.1269	303.242	326.3598	243.9438	215.1361	181.87	310.1291	1215.8648	318.5391	396.0025	341.2719	185.7773	217.7225
FN1	1558.5975	20085.6194	7744.6304	17322.2308	787.4291	4197.3526	211642.7683	13658.7057	8735.2008	67720.1738	5442.7481	3445.3883	3880.0905	14589.053	5138.2507	3988.8992	6170.9058	5800.1526	1263.8008	6089.6552	10484.6144	14092.6658	6612.9193	2783.0986	4298.9271	18744.9959	10745.5867	7148.7495	11430.5173	5454.5455	28818.8077	1036.4693	4871.6967	4698.7692	4950.8409	894.748	5414.3316	4547.7032	3550.0726	6742.7441	12980.7873	7659.9229	10686.6006	6576.5523	7794.2487	1807.3614	12840.7305	35541.2121	812.5	6611.1013	5949.7542	8198.1308	2929.3695	1064.5161	9579.4144	5415.5496	18017.6391	2461.3297	5243.8004	3175.0654	2536.8481	2046.816	2830.5085	3691.9396	3850.5178	3324.8555	15549.2552	12979.9036	9071.9665	109.0971	3573.1293	4551.3113	21220.1799	209973.1253	6639.3897	3875.0781	4311.2623	4914.5535	8548.5164
BCL2L11	342.4592	1137.4308	395.2007	515.8792	1002.5889	290.012	854.5379	507.2505	589.3235	663.0277	457.3791	242.1117	315.0452	169.9006	1050.1142	402.4052	296.7425	300.5339	496.5938	348.2759	320.1697	227.0531	491.6891	545.0704	393.6367	215.0894	636.5524	591.0487	535.1062	258.3968	562.8883	184.4609	422.3296	318.7217	534.282	417.96	162.1497	403.8364	624.0929	639.8417	364.5736	479.7688	911.9791	263.4015	654.516	387.6673	363.0327	331.5152	162.9464	228.4093	307.4823	347.6636	237.0311	247.3118	265.3061	632.2415	158.0733	491.1805	190.6613	331.2479	590.4493	309.0863	701.6949	524.6	393.2163	152.6012	436.8092	381.2563	358.9958	365.9156	409.0136	468.073	316.7775	523.1903	384.6509	218.6134	288.9296	761.301	698.4763
ASNS	597.9827	1727.687	1073.0262	2216.8861	571.1515	657.4408	1394.5296	301.9024	799.1543	386.7662	611.9593	1041.8689	171.3801	1351.4818	1309.687	432.9325	1113.3423	1524.0275	898.755	247.8448	178.172	339.0426	726.1869	496.2441	428.4129	869.3592	759.0862	807.8104	908.7076	769.8164	415.7851	447.1459	833.0659	388.6849	1248.3829	419.0805	1145.1539	1814.74	632.8012	467.0185	1089.5033	545.2794	858.1574	298.1103	1410.5576	717.0172	772.5512	586.0606	597.0982	786.6643	463.1349	493.4579	526.3368	844.086	881.1003	1241.1703	611.9403	200.8141	407.1541	418.1549	1598.1495	2200.3524	1162.7119	935.5466	1160.4382	643.9306	1515.6175	1532.5181	582.4268	621.379	284.8639	1340.935	922.1744	597.746	860.8414	1003.7477	106.7783	577.1775	3606.255
SRC	1423.6311	2505.9715	1255.5177	1000	478.3813	403.1288	472.8554	2489.3352	187.6321	1132.2268	3362.5954	1387.7427	152.1493	4618.5925	840.5213	3592.0444	1350.7363	3024.4088	957.4818	1990.5172	889.7803	1341.6776	3216.0844	1587.3239	2803.9216	249.2005	709.7612	1451.075	4856.1699	301.8361	1507.9765	803.9112	1343.1739	376.5925	155.2393	1032.0137	1377.1245	2230.1868	3262.6996	1120.0528	1177.1321	2868.0154	2358.4377	1232.9348	1150.8033	3273.4226	1238.7382	1524.2424	2047.9911	1211.5623	1225.5598	1973.8318	1643.6552	3166.6667	2070.0976	2459.4941	1449.118	1145.1832	74.4194	1809.123	1337.4256	2886.9872	1050.8475	1329.7443	3318.6252	2413.8728	1345.9875	1481.3901	1460.251	1591.0554	2158.1633	3596.9213	2770.8252	964.456	1665.2797	1083.0731	2107.9997	834.0684	1386.9286
AKT2	11049.4717	3458.595	5737.8166	4491.8668	4249.5463	8417.9703	2319.1048	10540.7471	3913.3192	1853.1803	3538.1679	3147.4515	4682.6923	4599.6718	4896.9502	2403.3302	4078.5364	2623.1884	2253.6998	3009.4828	2580.255	4862.9776	3497.9596	2228.169	2737.6989	1608.9068	2052.4403	3655.1119	3129.5606	3626.5114	1207.7246	2790.6977	1429.296	4551.0689	3247.0893	2555.3825	2720.7166	3501.7668	3301.8868	7745.3826	3766.6354	1575.1445	2598.3928	2602.0054	1885.7837	5576.9598	8128.3896	3241.8182	1577.0089	3770.172	1529.219	1839.2523	5454.5092	795.6989	1417.0364	4315.1883	3654.6811	3226.5943	3360.5589	3107.2688	3157.3987	4791.845	2788.1356	1945.8651	2398.9194	2365.3179	5531.9558	3642.8708	1608.3682	4880.908	2662.415	4539.3387	3847.8686	1733.42	3490.5224	3789.5066	4907.6158	2545.204	3414.996
AKT3	853.0259	678.8348	250.037	469.4036	357.6683	108.3032	586.8214	1352.1014	171.2474	49.0141	543.257	438.1068	65.0452	573.0283	198.8446	554.1166	471.2182	620.9001	287.9962	138.3621	1383.2629	1088.274	635.0154	675.1174	453.9401	613.526	797.5078	754.717	912.5993	976.2651	491.6877	244.7146	481.9527	779.9611	465.718	283.4956	1252.6412	327.6123	503.6284	30.7828	354.7329	407.5145	861.1474	524.489	217.632	64.0535	343.1101	230.303	416.2946	367.441	504.6423	368.2243	1168.7949	462.3656	483.5847	710.1061	331.0719	42.0624	71.9593	343.0781	713.6332	532.0916	445.7627	1491.8499	389.014	658.9595	1302.2585	706.5362	476.9874	823.9878	534.0136	587.7993	766.1322	1240.1387	837.7254	337.2892	1212.946	386.4388	253.4082
AKT1	4020.6532	3627.2971	13148.2743	9041.0534	1558.6513	2338.5479	4829.6726	5299.6118	3307.611	4567.6729	2439.5674	3243.932	3858.0317	5093.1557	7467.4191	9444.9584	5704.5962	2665.9039	5845.9009	1497.4138	3216.8151	9470.7949	4281.0789	5661.0329	3958.9345	5272.0597	2907.5805	7397.5428	3636.7764	1824.4514	5174.8111	8891.1205	4171.1263	2980.7817	2243.2083	5494.5486	1991.2724	5421.5043	4114.6589	8395.7784	6367.3852	5060.6936	3657.6341	3711.1454	7637.6401	8100.3824	2559.8229	2782.4242	6268.9732	3831.1757	3969.4156	5205.6075	6124.9002	9666.6667	5614.0195	6760.2285	5116.0109	9333.7856	2193.8349	4585.5989	5213.0885	3238.3589	4218.6441	3756.5425	1514.633	5058.9595	2506.4873	4585.6537	4102.9289	7667.9654	5064.6259	6077.5371	5395.7763	3351.5388	4931.1142	2444.0974	3352.351	2500.5513	3710.9062
CDH2	5062.44	31.0025	1537.55	28.66	3.912	16.0449	1184.0033	678.9405	42.8118	4.4558	141.2214	226.9417	1940.6109	1106.2844	55.354	427.3821	592.5926	148.7414	40.404	5434.9138	357.9638	664.0316	560.5653	41.3146	2519.7928	11.8441	12.9803	68.4511	604.5079	9556.2024	20.8228	9678.1184	23.1867	1426.0419	6.4683	102.529	7902.6183	3504.2908	14.5138	226.4732	1260.5436	151.2524	3880.3962	4366.371	46.4426	2.8681	802.2136	47.8788	2362.7232	4.9654	924.6313	11.215	2775.3392	37.6344	16.8589	155.7291	1840.5699	487.1099	2794.1104	3788.42	181.9973	1077.2716	111.8644	5521.1605	7.8043	201.1561	51.8981	985.5365	6.6946	8.1315	551.8707	1415.0513	410.2464	45.5137	7.8595	5.6215	748.1462	28.1147	8.4202
RAD51	22.5744	57.9788	15.9976	65.8404	7.824	279.1817	286.3655	38.0778	352.0085	287.8467	122.7735	7.8883	193.4389	8.495	132.7422	10.1758	120.9282	32.0366	67.6533	298.2759	48.0525	57.971	66.4875	53.0516	116.5372	53.0617	28.5566	19.7455	3.2431	307.21	110.1595	99.8943	58.7949	172.7489	21.9922	170.8817	95.5443	34.8309	50.7983	53.2102	173.8519	72.2543	18.6881	35.0945	93.4251	112.8107	187.2717	386.6667	16.7411	39.014	9.8307	56.0748	15.1636	10.7527	4.4366	28.9078	251.6961	37.9919	201.7319	41.406	14.356	74.5029	10.1695	2.9909	22.8125	11.5607	47.5733	12.3412	33.4728	33.8811	45.068	21.6648	48.8854	224.534	12.4827	87.4453	19.5411	18.1918	279.4707
MET	110.951	173.5337	184.8615	152.5949	65.3862	58.1629	61.3344	228.1267	56.5539	408.1542	87.1501	911.4078	22.6244	489.6226	101.0345	1085.1064	132.5301	375.286	113.6951	31.8966	91.7856	49.1875	1199.1639	1745.5399	55.4939	535.3547	161.9938	125.9324	117.3991	982.5347	147.1033	275.37	172.2442	31.0948	196.6365	193.8527	9.6463	33.8213	204.6444	2.1988	119.4939	108.8632	86.7128	33.9375	157.6887	71.7017	90.7582	27.2727	16.7411	214.9317	420.5352	242.9907	17.1588	48.3871	118.8997	144.0727	53.5957	62.4152	720.8227	56.4213	351.491	164.1077	491.5254	23.927	130.2716	1094.7977	138.8755	2506.1541	61.0879	126.7152	426.0204	175.0285	101.6817	647.1608	362.9219	66.8332	607.5198	199.0077	172.0128
