assay	primary	colname
1	RNASeq2GeneNorm	TCGA-OR-A5J1	TCGA-OR-A5J1-01A-11R-A29S-07
2	RNASeq2GeneNorm	TCGA-OR-A5J2	TCGA-OR-A5J2-01A-11R-A29S-07
3	RNASeq2GeneNorm	TCGA-OR-A5J3	TCGA-OR-A5J3-01A-11R-A29S-07
4	RNASeq2GeneNorm	TCGA-OR-A5J5	TCGA-OR-A5J5-01A-11R-A29S-07
5	RNASeq2GeneNorm	TCGA-OR-A5J6	TCGA-OR-A5J6-01A-31R-A29S-07
6	RNASeq2GeneNorm	TCGA-OR-A5J7	TCGA-OR-A5J7-01A-11R-A29S-07
7	RNASeq2GeneNorm	TCGA-OR-A5J8	TCGA-OR-A5J8-01A-11R-A29S-07
8	RNASeq2GeneNorm	TCGA-OR-A5J9	TCGA-OR-A5J9-01A-11R-A29S-07
9	RNASeq2GeneNorm	TCGA-OR-A5JA	TCGA-OR-A5JA-01A-11R-A29S-07
10	RNASeq2GeneNorm	TCGA-OR-A5JB	TCGA-OR-A5JB-01A-11R-A29S-07
11	RNASeq2GeneNorm	TCGA-OR-A5JC	TCGA-OR-A5JC-01A-11R-A29S-07
12	RNASeq2GeneNorm	TCGA-OR-A5JD	TCGA-OR-A5JD-01A-11R-A29S-07
13	RNASeq2GeneNorm	TCGA-OR-A5JE	TCGA-OR-A5JE-01A-11R-A29S-07
14	RNASeq2GeneNorm	TCGA-OR-A5JF	TCGA-OR-A5JF-01A-11R-A29S-07
15	RNASeq2GeneNorm	TCGA-OR-A5JG	TCGA-OR-A5JG-01A-11R-A29S-07
16	RNASeq2GeneNorm	TCGA-OR-A5JI	TCGA-OR-A5JI-01A-11R-A29S-07
17	RNASeq2GeneNorm	TCGA-OR-A5JJ	TCGA-OR-A5JJ-01A-11R-A29S-07
18	RNASeq2GeneNorm	TCGA-OR-A5JK	TCGA-OR-A5JK-01A-11R-A29S-07
19	RNASeq2GeneNorm	TCGA-OR-A5JL	TCGA-OR-A5JL-01A-11R-A29S-07
20	RNASeq2GeneNorm	TCGA-OR-A5JM	TCGA-OR-A5JM-01A-11R-A29S-07
21	RNASeq2GeneNorm	TCGA-OR-A5JO	TCGA-OR-A5JO-01A-11R-A29S-07
22	RNASeq2GeneNorm	TCGA-OR-A5JP	TCGA-OR-A5JP-01A-11R-A29S-07
23	RNASeq2GeneNorm	TCGA-OR-A5JQ	TCGA-OR-A5JQ-01A-11R-A29S-07
24	RNASeq2GeneNorm	TCGA-OR-A5JR	TCGA-OR-A5JR-01A-11R-A29S-07
25	RNASeq2GeneNorm	TCGA-OR-A5JS	TCGA-OR-A5JS-01A-11R-A29S-07
26	RNASeq2GeneNorm	TCGA-OR-A5JT	TCGA-OR-A5JT-01A-11R-A29S-07
27	RNASeq2GeneNorm	TCGA-OR-A5JV	TCGA-OR-A5JV-01A-11R-A29S-07
28	RNASeq2GeneNorm	TCGA-OR-A5JW	TCGA-OR-A5JW-01A-11R-A29S-07
29	RNASeq2GeneNorm	TCGA-OR-A5JX	TCGA-OR-A5JX-01A-11R-A29S-07
30	RNASeq2GeneNorm	TCGA-OR-A5JY	TCGA-OR-A5JY-01A-31R-A29S-07
31	RNASeq2GeneNorm	TCGA-OR-A5JZ	TCGA-OR-A5JZ-01A-11R-A29S-07
32	RNASeq2GeneNorm	TCGA-OR-A5K0	TCGA-OR-A5K0-01A-11R-A29S-07
33	RNASeq2GeneNorm	TCGA-OR-A5K1	TCGA-OR-A5K1-01A-11R-A29S-07
34	RNASeq2GeneNorm	TCGA-OR-A5K2	TCGA-OR-A5K2-01A-11R-A29S-07
35	RNASeq2GeneNorm	TCGA-OR-A5K3	TCGA-OR-A5K3-01A-11R-A29S-07
36	RNASeq2GeneNorm	TCGA-OR-A5K4	TCGA-OR-A5K4-01A-11R-A29S-07
37	RNASeq2GeneNorm	TCGA-OR-A5K5	TCGA-OR-A5K5-01A-11R-A29S-07
38	RNASeq2GeneNorm	TCGA-OR-A5K6	TCGA-OR-A5K6-01A-11R-A29S-07
39	RNASeq2GeneNorm	TCGA-OR-A5K8	TCGA-OR-A5K8-01A-11R-A29S-07
40	RNASeq2GeneNorm	TCGA-OR-A5K9	TCGA-OR-A5K9-01A-11R-A29S-07
