ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
209813_x_at	0.0878	0.00000911	4.849884	3.1015	2.4426407	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
209374_s_at	0.0878	0.0000145	-4.720801	2.7133	-2.0059625	IGHM	immunoglobulin heavy constant mu
212827_at	0.0878	0.00001567	-4.699004	2.6482	-1.8777079	IGHM	immunoglobulin heavy constant mu
207399_at	0.0878	0.00001576	-4.697503	2.6437	-1.3897749	BFSP2	beaded filament structural protein 2
205297_s_at	0.0974	0.00003344	-4.485168	2.0153	-1.4423849	CD79B	CD79b molecule
208068_x_at	0.0974	0.0000362	-4.462585	1.9491	-1.6481303	GH2///GH1///CSHL1///CSH1	growth hormone 2///growth hormone 1///chorionic somatomammotropin hormone like 1///chorionic somatomammotropin hormone 1
221976_s_at	0.0974	0.00003679	-4.457906	1.9355	-1.4978817	HDGFRP3	hepatoma-derived growth factor, related protein 3
209153_s_at	0.0974	0.00004041	-4.431104	1.8572	-1.5431969	TCF3	transcription factor 3
204928_s_at	0.0974	0.00004052	4.430349	1.855	1.595484	SLC10A3	solute carrier family 10 member 3
215592_at	0.0974	0.00006037	-4.315463	1.522	-1.8952543		
207522_s_at	0.0974	0.00006048	-4.314952	1.5205	-1.8339829	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
216101_at	0.0974	0.00006074	-4.313709	1.5169	-1.2165781		
205137_x_at	0.0974	0.00006402	-4.298452	1.473	-1.2088695	USH1C	USH1 protein network component harmonin
218880_at	0.0974	0.00006417	4.297757	1.471	2.5539244	FOSL2	FOS like 2, AP-1 transcription factor subunit
AFFX-r2-Hs28SrRNA-5_at	0.0974	0.00006916	-4.276007	1.4086	-1.5741393		
219659_at	0.0974	0.00006992	-4.272815	1.3994	-1.7046385	ATP8A2	ATPase phospholipid transporting 8A2
212531_at	0.1011	0.00008022	-4.232767	1.2848	-2.1816159	LCN2	lipocalin 2
218564_at	0.1011	0.00008167	-4.227511	1.2698	-1.676913	RFWD3	ring finger and WD repeat domain 3
204890_s_at	0.1014	0.00008765	-4.206848	1.2109	-1.7351045	LCK	LCK proto-oncogene, Src family tyrosine kinase
209767_s_at	0.1014	0.00009103	-4.195752	1.1793	-1.4807381	SEPT5-GP1BB///SEPT5///GP1BB	SEPT5-GP1BB readthrough///septin 5///glycoprotein Ib platelet beta subunit
201739_at	0.1028	0.00010076	4.165909	1.0946	1.6136676	SGK1	serum/glucocorticoid regulated kinase 1
34063_at	0.1028	0.00010145	-4.163883	1.0889	-1.3640606	RECQL5	RecQ like helicase 5
201325_s_at	0.1129	0.0001179	4.119535	0.9636	2.3741782	EMP1	epithelial membrane protein 1
217585_at	0.1129	0.0001257	-4.100549	0.9102	-1.3239907	NEBL	nebulette
206965_at	0.1129	0.00012661	-4.098418	0.9042	-1.1329903	KLF12	Kruppel like factor 12
213036_x_at	0.1219	0.00014226	-4.063777	0.807	-1.5635778	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
215589_at	0.1237	0.00015377	-4.040574	0.7422	-1.3479764		
201668_x_at	0.1237	0.00015783	-4.032787	0.7205	-1.6726678	MARCKS	myristoylated alanine rich protein kinase C substrate
215439_x_at	0.1237	0.00016312	-4.02294	0.693	-1.1983488		
215212_at	0.1237	0.00017791	-3.996927	0.6207	-1.549719		
214041_x_at	0.1237	0.00017852	-3.995895	0.6179	-1.2707097	RPL37A	ribosomal protein L37a
206962_x_at	0.1237	0.00017945	-3.99433	0.6135	-1.3861238		
218881_s_at	0.1237	0.00018366	3.987361	0.5942	1.9371598	FOSL2	FOS like 2, AP-1 transcription factor subunit
201324_at	0.1237	0.00019059	3.976219	0.5634	2.2249935	EMP1	epithelial membrane protein 1
206886_x_at	0.1237	0.00020388	-3.955914	0.5073	-1.6713695	GH1	growth hormone 1
204915_s_at	0.1237	0.00020398	-3.95577	0.5069	-2.1260654	SOX11	SRY-box 11
210172_at	0.1237	0.00020643	-3.952167	0.4969	-1.3112225	SF1	splicing factor 1
203471_s_at	0.1237	0.0002109	3.945694	0.4791	1.0401136	PLEK	pleckstrin
219825_at	0.1243	0.00021756	-3.936301	0.4532	-1.0829382	CYP26B1	cytochrome P450 family 26 subfamily B member 1
AFFX-M27830_5_at	0.1362	0.00024455	-3.900853	0.3559	-1.6428682		
201456_s_at	0.1368	0.00025175	-3.892022	0.3317	-1.2425879	BUB3	BUB3, mitotic checkpoint protein
207662_at	0.1375	0.00027307	-3.867267	0.2641	-1.2460674	TBX1	T-box 1
202497_x_at	0.1375	0.00028018	3.859416	0.2427	1.5304215	SLC2A3	solute carrier family 2 member 3
220529_at	0.1375	0.00029023	-3.848649	0.2134	-1.1369605	FLJ11710	uncharacterized protein FLJ11710
212249_at	0.1375	0.0002924	-3.846368	0.2072	-1.0862987	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
210948_s_at	0.1375	0.00029531	-3.84334	0.199	-1.3663703	LEF1	lymphoid enhancer binding factor 1
203825_at	0.1375	0.00029602	-3.842606	0.197	-1.1776568	BRD3	bromodomain containing 3
205655_at	0.1375	0.00029729	-3.841292	0.1934	-1.2357104	MDM4	MDM4, p53 regulator
215908_at	0.1375	0.00030246	-3.836015	0.1791	-1.3305495		
205840_x_at	0.1451	0.00032558	-3.813409	0.1179	-1.2273724	GH1	growth hormone 1
36711_at	0.1467	0.00033583	3.803879	0.0921	1.4915646	MAFF	MAF bZIP transcription factor F
214918_at	0.147	0.00034301	-3.797367	0.0745	-1.0533727	HNRNPM	heterogeneous nuclear ribonucleoprotein M
AFFX-HUMRGE/M10098_5_at	0.1472	0.00035601	-3.785909	0.0436	-1.8468046		
207075_at	0.1472	0.00035669	3.785318	0.042	1.9760202	NLRP3	NLR family pyrin domain containing 3
202830_s_at	0.1599	0.00039566	-3.753269	-0.0441	-1.2036181	SLC37A4	solute carrier family 37 member 4
221705_s_at	0.1599	0.00040197	-3.748367	-0.0572	-0.9409698	SIKE1	suppressor of IKBKE 1
204913_s_at	0.1691	0.00043253	-3.725617	-0.1181	-2.3855314	SOX11	SRY-box 11
213517_at	0.1695	0.00044125	-3.719406	-0.1346	-1.2507423	PCBP2	poly(rC) binding protein 2
204621_s_at	0.1706	0.00045183	3.712025	-0.1543	1.4461758	NR4A2	nuclear receptor subfamily 4 group A member 2
215807_s_at	0.1711	0.0004608	-3.705901	-0.1706	-1.6158047	PLXNB1	plexin B1
204686_at	0.1727	0.0004728	-3.697878	-0.192	-1.5692744	IRS1	insulin receptor substrate 1
217276_x_at	0.1741	0.0004851	-3.689855	-0.2133	-1.4677983	SERHL2	serine hydrolase-like 2
215260_s_at	0.1741	0.00051874	-3.668871	-0.2689	-1.3049899	TCF3	transcription factor 3
46142_at	0.1741	0.00052057	-3.667767	-0.2718	-1.2413707	LMF1	lipase maturation factor 1
204622_x_at	0.1741	0.00052819	3.663213	-0.2838	1.482064	NR4A2	nuclear receptor subfamily 4 group A member 2
204138_s_at	0.1741	0.00053832	-3.65725	-0.2996	-1.1755783	MZF1	myeloid zinc finger 1
209870_s_at	0.1741	0.00053849	-3.657153	-0.2999	-1.2988441	APBA2	amyloid beta precursor protein binding family A member 2
203777_s_at	0.1741	0.00053935	-3.656647	-0.3012	-1.1102449	RPS6KB2	ribosomal protein S6 kinase B2
216248_s_at	0.1741	0.0005491	3.651019	-0.316	1.4832263	NR4A2	nuclear receptor subfamily 4 group A member 2
